Country Group,ISO,indicator code,Country,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY
Emerging Europe,POL,LP,Poland,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Polish zloty Data last updated: 09/2023,38,38,38,38,2022.0
Emerging Europe,ROU,NGDP,Romania,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. Source: Eurostat and National Institute of Statistics. Minor differences between National Statistical Office and Eurostat. Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Romanian leu Data last updated: 09/2023",1064,1067,1187,1410,2022.0
Emerging Europe,ROU,NGDPD,Romania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",251,252,286,301,2022.0
Emerging Europe,ROU,PPPEX,Romania,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2022.0
Emerging Europe,ROU,NID_NGDP,Romania,Total investment,Percent of GDP,,"Source: National Statistics Office. Source: Eurostat and National Institute of Statistics. Minor differences between National Statistical Office and Eurostat. Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Romanian leu Data last updated: 09/2023",24,25,26,27,2022.0
Emerging Europe,ROU,PCPIPCH,Romania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,3,5,14,2022.0
Emerging Europe,ROU,LP,Romania,Population,Persons,Millions,"Source: National Statistics Office. We use data from Haver Analytics. The previously reported series from Eurostat is not available anymore. The current series is reported by the Romanian National Institute of Statistics (INSSE). The new series uses a new method, which better accounts for migration on a national basis. As a result, the historical data series on population was adjusted. Latest actual data: 2022 Primary domestic currency: Romanian leu Data last updated: 09/2023",19,19,19,19,2022.0
Emerging Latin America,ARG,LP,Argentina,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2010 Notes: Based on the National Census of 2010 Primary domestic currency: Argentine peso Data last updated: 09/2023,45,45,46,46,2010.0
Emerging Europe,RUS,NGDP,Russia,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 Notes: Gross capital formation includes statistical discrepancy. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2021. The discrepancy in historical national account comes from source data which recently got rebased. In the new methodology they rebased all the components of GDP to 2021 prices. Chain-weighted: Yes, from 1995 Primary domestic currency: Russian ruble Data last updated: 09/2023",109608,107658,135295,153435,2022.0
Emerging Europe,RUS,NGDPD,Russia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1696,1488,1837,2244,2022.0
Emerging Europe,RUS,PPPEX,Russia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",26,26,30,32,2022.0
Emerging Europe,RUS,NID_NGDP,Russia,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 Notes: Gross capital formation includes statistical discrepancy. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2021. The discrepancy in historical national account comes from source data which recently got rebased. In the new methodology they rebased all the components of GDP to 2021 prices. Chain-weighted: Yes, from 1995 Primary domestic currency: Russian ruble Data last updated: 09/2023",23,23,23,22,2022.0
Emerging Europe,RUS,PCPIPCH,Russia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,3,7,14,2022.0
Emerging Europe,RUS,LP,Russia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Russian ruble Data last updated: 09/2023,147,146,146,143,2022.0
Emerging Latin America,PRY,LP,Paraguay,Population,Persons,Millions,"Source: National Statistics Office. ProyecciÛn de la PoblaciÛn Nacional, ¡reas Urbana y Rural por Sexo y Edad, 2000-2025 Latest actual data: 2022 Primary domestic currency: Paraguayan guaranÌ Data last updated: 09/2023",7,7,7,7,2022.0
Emerging Europe,SRB,NGDP,Serbia,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. Statistical Office of the Republic of Serbia Latest actual data: 2022. The country in its current form has been in existence since 1992. Official data are only available from 1999 onward. The data prior to 1992 is presumably for the former SFR Yugoslavia. Metadata analysis available through the statistics office. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010 Primary domestic currency: Serbian dinar Data last updated: 09/2023",5422,5504,6270,7091,2022.0
Emerging Europe,SRB,NGDPD,Serbia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",52,53,63,64,2022.0
Emerging Europe,SRB,PPPEX,Serbia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",41,41,42,43,2022.0
Emerging Europe,SRB,NID_NGDP,Serbia,Total investment,Percent of GDP,,"Source: National Statistics Office. Statistical Office of the Republic of Serbia Latest actual data: 2022. The country in its current form has been in existence since 1992. Official data are only available from 1999 onward. The data prior to 1992 is presumably for the former SFR Yugoslavia. Metadata analysis available through the statistics office. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010 Primary domestic currency: Serbian dinar Data last updated: 09/2023",25,24,25,27,2022.0
Emerging Europe,SRB,PCPIPCH,Serbia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,2,4,12,2022.0
Emerging Europe,SRB,LP,Serbia,Population,Persons,Millions,Source: National Statistics Office. Statistical Office of the Republic of Serbia Latest actual data: 2022 Primary domestic currency: Serbian dinar Data last updated: 09/2023,7,7,7,7,2022.0
Emerging Europe,TUR,NGDP,T¸rkiye,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. Data from Turkish Statistical Institute (TurkStat) Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: Yes, from 2009 Primary domestic currency: Turkish lira Data last updated: 09/2023",4318,5049,7256,15012,2022.0
Emerging Europe,TUR,NGDPD,T¸rkiye,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",761,720,818,906,2022.0
Emerging Europe,TUR,PPPEX,T¸rkiye,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,4,2022.0
Emerging Europe,TUR,NID_NGDP,T¸rkiye,Total investment,Percent of GDP,,"Source: National Statistics Office. Data from Turkish Statistical Institute (TurkStat) Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: Yes, from 2009 Primary domestic currency: Turkish lira Data last updated: 09/2023",25,31,31,35,2022.0
Emerging Europe,TUR,PCPIPCH,T¸rkiye,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",15,12,20,72,2022.0
Emerging Europe,TUR,LP,T¸rkiye,Population,Persons,Millions,Source: National Statistics Office. Data from Turkish Statistical Institute (TurkStat) Latest actual data: 2022 Primary domestic currency: Turkish lira Data last updated: 09/2023,83,84,85,85,2022.0
Emerging Latin America,BOL,NGDP,Bolivia,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Bolivian boliviano Data last updated: 09/2023,283,253,279,304,2022.0
Emerging Latin America,BOL,NGDPD,Bolivia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",41,37,41,44,2022.0
Emerging Europe,UKR,NGDP,Ukraine,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. Formally, the State Statistics Service of Ukraine Latest actual data: 2022. Starting in 2014, the data was changed to SNA 2008. Revised National Accounts data is available from 2000 on an annual basis and from 2010 on a quarterly basis. The data excludes Crimea and Sevastopol from 2010. The revised quarterly GDP data based on SNA 2008 excluding Crimea and Sevastopol are available from 2010. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: Yes, from 2005 Primary domestic currency: Ukrainian hryvnia Data last updated: 09/2023",3978,4222,5451,5191,2022.0
Emerging Europe,UKR,NGDPD,Ukraine,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",154,157,200,161,2022.0
Emerging Europe,UKR,PPPEX,Ukraine,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",7,8,9,12,2022.0
